phase,material,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
approach,rigid_metal,all,0.773614,0.773614,0.818057,0.703747,0.843480,0.756609,0.652270,0.078260,0.148127,0.180774,0.175405,0.150861,0.610659,0.205571
approach,smooth_plastic,all,0.769023,0.769023,0.818014,0.691997,0.846050,0.749747,0.645403,0.076975,0.154002,0.181557,0.175405,0.151291,0.591069,0.212439
approach,soft_foam,all,0.758107,0.758107,0.815021,0.667773,0.848441,0.734085,0.629842,0.075780,0.166114,0.183386,0.175405,0.152961,0.545358,0.227999
approach,cloth_rubber,all,0.755052,0.755052,0.809679,0.666851,0.843252,0.731357,0.626503,0.078374,0.166574,0.183908,0.175405,0.151805,0.532297,0.231339
approach,low_friction_transparent,all,0.743864,0.743864,0.815141,0.630777,0.856951,0.711205,0.608685,0.071524,0.184611,0.184692,0.175405,0.154967,0.512707,0.249157
insertion,rigid_metal,all,0.772565,0.772565,0.808167,0.714801,0.830330,0.758622,0.636520,0.084835,0.142600,0.180774,0.175405,0.149325,0.610659,0.221322
insertion,smooth_plastic,all,0.768258,0.768258,0.808595,0.702903,0.833613,0.752054,0.629539,0.083193,0.148548,0.181557,0.175405,0.149777,0.591069,0.228303
insertion,soft_foam,all,0.757404,0.757404,0.804829,0.679615,0.835193,0.736941,0.613113,0.082403,0.160193,0.183386,0.175405,0.150281,0.545358,0.244729
insertion,cloth_rubber,all,0.753937,0.753937,0.800033,0.677120,0.830755,0.733463,0.608919,0.084623,0.161440,0.183908,0.175405,0.149933,0.532297,0.248922
insertion,low_friction_transparent,all,0.745072,0.745072,0.806556,0.644791,0.845354,0.716658,0.592958,0.077323,0.177605,0.184692,0.175405,0.152388,0.512707,0.264883
sliding,rigid_metal,all,0.771783,0.771783,0.810239,0.709804,0.833761,0.756703,0.640320,0.083119,0.145098,0.180774,0.175405,0.148970,0.610659,0.217522
sliding,smooth_plastic,all,0.768009,0.768009,0.810961,0.698946,0.837073,0.750798,0.634260,0.081464,0.150527,0.181557,0.175405,0.150168,0.591069,0.223581
sliding,soft_foam,all,0.757330,0.757330,0.807419,0.675864,0.838797,0.735807,0.618304,0.080602,0.162068,0.183386,0.175405,0.150671,0.545358,0.239537
sliding,cloth_rubber,all,0.755379,0.755379,0.803407,0.676232,0.834527,0.734354,0.616331,0.082737,0.161884,0.183908,0.175405,0.150356,0.532297,0.241510
sliding,low_friction_transparent,all,0.744395,0.744395,0.808708,0.640229,0.848560,0.714674,0.597929,0.075720,0.179885,0.184692,0.175405,0.152514,0.512707,0.259913
handoff,rigid_metal,all,0.770682,0.770682,0.810580,0.706452,0.834913,0.754942,0.629125,0.082544,0.146774,0.180774,0.175405,0.149076,0.610659,0.228716
handoff,smooth_plastic,all,0.766093,0.766093,0.810817,0.694148,0.838038,0.747960,0.621703,0.080981,0.152926,0.181557,0.175405,0.149574,0.591069,0.236138
handoff,soft_foam,all,0.755806,0.755806,0.808058,0.670996,0.840615,0.733176,0.605718,0.079692,0.164502,0.183386,0.175405,0.150898,0.545358,0.252124
handoff,cloth_rubber,all,0.753038,0.753038,0.802911,0.670717,0.835360,0.730884,0.602514,0.082320,0.164642,0.183908,0.175405,0.150317,0.532297,0.255327
handoff,low_friction_transparent,all,0.743172,0.743172,0.809153,0.636461,0.849884,0.712492,0.584958,0.075058,0.181770,0.184692,0.175405,0.153615,0.512707,0.272883
regrasp,rigid_metal,all,0.772813,0.772813,0.813492,0.707933,0.837694,0.757051,0.644828,0.081153,0.146034,0.180774,0.175405,0.150077,0.610659,0.213013
regrasp,smooth_plastic,all,0.768057,0.768057,0.813595,0.695451,0.840664,0.749898,0.637448,0.079668,0.152274,0.181557,0.175405,0.150644,0.591069,0.220393
regrasp,soft_foam,all,0.757684,0.757684,0.810586,0.672519,0.842849,0.735126,0.622125,0.078575,0.163740,0.183386,0.175405,0.151700,0.545358,0.235716
regrasp,cloth_rubber,all,0.755254,0.755254,0.806094,0.672208,0.838300,0.733088,0.619483,0.080850,0.163896,0.183908,0.175405,0.151184,0.532297,0.238358
regrasp,low_friction_transparent,all,0.744915,0.744915,0.811766,0.637702,0.852128,0.714282,0.602282,0.073936,0.181149,0.184692,0.175405,0.153595,0.512707,0.255560
